,Product Name,Images,Description,Original Price,Discounts,Discounted Price,Reviews
20,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/s/m/-original-imagykgpjswsfggf.jpeg?q=70,"{'Processor': 'AMD Ryzen 5 Hexa Core Processor', 'RAM': '8 GB DDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': 'Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart'}","₹54,552",30% off,"₹37,990",4.3
21,Infinix Y1 Plus Neo Intel Intel Celeron Quad Core 11th Gen JSL N5100 - (8 GB/512 GB SSD/Windows 11 Hom...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/d/v/xl30-thin-and-light-laptop-infinix-original-imagzmncdyme776h.jpeg?q=70,"{'Processor': 'Intel Celeron Quad Core Processor (11th Gen)', 'RAM': '8 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.01 cm (15.36 inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹26,390",12% off,"₹22,990",4
22,HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/z/z/15s-fy5003tu-thin-and-light-laptop-hp-original-imah42fxhqj4tw9b.jpeg?q=70,"{'Processor': 'Intel Core i3 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹51,266",27% off,"₹36,990",4.3
23,ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/e/g/-original-imagxqetsqyqgfah.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹60,999",50% off,"₹29,990",3.8
24,MSI Modern 15 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B13M-291IN Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/j/k/-original-imagvyw9unnduebd.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (13th Gen)', 'RAM': '8 GB DDR4 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹64,990",27% off,"₹46,990",4.2
25,HP 255 G9 AMD Athlon Dual Core AMD Athlon Silver-3050U - (4 GB/256 GB SSD/DOS) 255 G9 Thin and Light L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/f/8/255-g8-notebook-hp-original-imagq6emcferpkfx.jpeg?q=70,"{'Processor': 'AMD Athlon Dual Core Processor', 'RAM': '4 GB DDR4 RAM', 'OS': 'DOS Operating System', 'SSD': '256 GB SSD', 'Display': '39.62 cm (15.6 inch) Display', 'Warranty': 'DOS'}","₹27,057",29% off,"₹18,999",3.9
26,SAMSUNG Galaxy Book3 Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XFG-KB1IN T...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/3/f/-original-imahfu5nynahgvfy.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (13th Gen)', 'RAM': '8 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹93,900",37% off,"₹58,490",4.3
27,Acer Swift Go 14 2024 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) SFG14-41 Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/9/p/a/-original-imah3hbtadfhadhy.jpeg?q=70,"{'Processor': 'AMD Ryzen 5 Hexa Core Processor', 'RAM': '16 GB LPDDR4X RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '35.56 cm (14 Inch) Display', 'Warranty': '1 Year Carry-in Warranty'}","₹69,999",28% off,"₹49,990",4.7
28,ASUS Vivobook Go 15 (2023) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ5...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/u/h/s/-original-imagpxgqj6x2zkhe.jpeg?q=70,"{'Processor': 'AMD Ryzen 5 Quad Core Processor', 'RAM': '8 GB LPDDR5 RAM', 'OS': 'Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '39.62 cm (15.6 Inch) Display', 'Warranty': '1 Year Onsite Warranty'}","₹66,990",40% off,"₹39,990",4.2
29,Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/d/7/j/a324-51-thin-and-light-laptop-acer-original-imah42fygbtxkgxs.jpeg?q=70,"{'Processor': 'Intel Core i5 Processor (12th Gen)', 'RAM': '16 GB DDR4 RAM', 'OS': '64 bit Windows 11 Operating System', 'SSD': '512 GB SSD', 'Display': '35.56 cm (14 Inch) Display', 'Warranty': '1 Year Domestic Warranty'}","₹53,000",18% off,"₹42,990",4
